OBJECTID,TRAIL_ID,TRAIL_NAME,TRAIL_CLSS,SURF_MAT,ENGINEERED,WIDTH,FENCED,WHEEL_ACC,CONDITION,INST_YEAR,INST_DATE,LIGHT,OWNER,MAINT,STATUS,COMMENTS,ADDDATE,MODDATE,SOURCE,SACC,FCODE,CODE,WALKING,HIKING,BIKING,ATV,SNOWMOBILE,SEASON,COLLECTED,UPDATED,TCT,RAIL,NATURE,ET_SOURCE,SECT_NAME,ASSOCN,DATASOURCE,OFFICIAL,NAME_APP,PLOW,GLOBALID,LEN,Shape__Length
104551,5019,UNKNOWN NAME,,Gravel,No,1.8,,,GOOD,2012,,No,Halifax Regional Municipality,HRM,ACTIVE,,2013-04-03T00:00:00.000Z,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,bdc1783c-e6b2-4d48-8e07-d86c8866c792,213.780742750259,213.780742747041
104552,5021,UNKNOWN NAME,,Gravel,No,1.8,,,GOOD,2012,,No,Halifax Regional Municipality,HRM,ACTIVE,,2013-04-03T00:00:00.000Z,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,24d3582c-acef-4c3b-ad2a-f8985b815dc9,816.898709673267,816.898709672701
104553,697,UNKNOWN NAME,,CRDS,No,1.8,No,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,54a2bd90-7d49-41ef-b1ce-76328e014485,93.3864438306673,93.3864438298283
104554,698,UNKNOWN NAME,,CRDS,No,1.8,No,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,ae36e5ee-199a-4fe3-8930-fa2029902248,179.779150301111,179.779150299743
104555,1910,CRICHTON PARK ELEMENTARY SCHOOL PARK WALKWAY,SECONDARY,Asphalt, ,2,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,minor heaves/cracking thru/out,,,,,,,,,,,,,,,,,,,,CRICHTON PARK SCHOOL,TPW_TRAILS,,,,c6810942-61ad-4355-9fcb-9b064b1c87a7,77.4406756811166,77.4406756826241
104556,1746,UNKNOWN NAME, ,Gravel,No,1.3,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,"access fr parking lot,minor exposed root",,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,04020ae6-8fd9-47ec-b6f6-d00af1677db3,51.2103935391627,51.210393539887
104557,1747,UNKNOWN NAME, ,Asphalt,No,2.1,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,ff74ee99-7219-4ea9-ba4d-997e81a8a270,5.30112738020465,5.30112738126273
104558,1748,UNKNOWN NAME, ,Asphalt,No,2.2,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,fbd0a150-c26f-42b0-8061-1428192992bd,103.09630240278,103.096302403238
104559,1905,CRICHTON PARK ELEMENTARY SCHOOL PARK WALKWAY,SECONDARY,Asphalt, ,2,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,CRICHTON PARK SCHOOL,TPW_TRAILS,,,,fbd4d7e8-6f51-45b3-9c59-2cfa5e44f605,25.7257882980946,25.7257882975036
104560,1906,CRICHTON PARK SCHOOL WALKWAYS,SECONDARY,Concrete, ,1.2,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,4 cracked slabs 1 heaved,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,7d05c64d-8bd6-417c-b96e-15dc7193cf9d,31.3515515660014,31.3515515662028
104561,1907,CRICHTON PARK ELEMENTARY SCHOOL PARK WALKWAY,SECONDARY,Asphalt, ,2,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,CRICHTON PARK SCHOOL,TPW_TRAILS,,,,82a1c890-3739-4ac1-b346-25db1491a806,15.6500105539718,15.6500105547246
104562,1908,CRICHTON PARK ELEMENTARY SCHOOL PARK WALKWAY,SECONDARY,Asphalt, ,2,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,2 areas broken asphalt- minor heaves,,,,,,,,,,,,,,,,,,,,CRICHTON PARK SCHOOL,TPW_TRAILS,,,,82b336fa-abab-46ae-887e-678440289f3a,15.335720909554,15.3357209100511
104563,1386,UNKNOWN NAME,PRIMARY,CRDS,No,2.5,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,width varies,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,c813eced-8683-4dfe-ba8e-14d45cf5640b,222.512164352637,222.512164353654
104564,1388,UNKNOWN NAME,SECONDARY,CRDS,No,1.5,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,2a71ca68-d4a6-4d10-bcc4-33721bec8a7f,99.2207656489328,99.2207656486932
104565,1377,UNKNOWN NAME,PRIMARY,Asphalt,No,1.5,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,some recent repairs,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,49b5b437-6459-4322-b96f-30c57c10c7e4,126.587883007427,126.587883005878
104566,1389,UNKNOWN NAME,TERIARY,CRDS,No,1,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,b363988a-22cb-4df1-b647-ad6614a2eff9,50.7895805931272,50.7895805951823
104567,1390,UNKNOWN NAME,PRIMARY,Asphalt,No,2,Yes,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,2b50e8a1-479e-439d-8b56-824885009c8d,188.525335897519,188.525335896788
104568,2071,UNKNOWN NAME, ,CRDS,No,1.5,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,width varies-path around playstructures,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,325a2d94-e603-44d6-bfbf-10b0c79c77aa,142.505262403472,142.50526240273
104569,2072,UNKNOWN NAME, ,OTHR, ,1,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,concrete pavers to moose statue,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,94456230-5d95-4d7c-9b80-0dff1670846a,45.3207000923248,45.3207000903679
104570,704,UNKNOWN NAME,,,No,,No,,GOOD,2014,,No,Halifax Regional Municipality,HRM,ACTIVE,,2014-12-12T00:00:00.000Z,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,98bc133b-25e1-433e-8658-1cb3aaa67fb5,188.510771698846,188.510771699259
104571,705,UNKNOWN NAME,,,No,,No,,GOOD,2014,,No,Halifax Regional Municipality,HRM,ACTIVE,,2014-12-12T00:00:00.000Z,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,25666d98-a1fd-4540-9d28-0cb472e5a4e5,233.771279699772,233.771279698191
104572,706,UNKNOWN NAME,,,No,,No,,GOOD,2014,,No,Halifax Regional Municipality,HRM,ACTIVE,,2014-12-12T00:00:00.000Z,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,9ab55735-3612-490c-8304-05f106928c8f,333.070242114161,333.07024211439
104573,707,UNKNOWN NAME,,,No,,No,,GOOD,2014,,No,Halifax Regional Municipality,HRM,ACTIVE,,2014-12-12T00:00:00.000Z,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,9edb920a-1a66-4ed1-a1a8-892947b05e17,308.370922973591,308.370922972701
104574,1634,SHUBIE CANAL GREENWAY,AT_GW - P,Wood, ,2.1,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,ddbd10e9-b69b-48ea-a7d6-38b6e07b6111,272.447165666967,272.447165667765
104575,1633,UNKNOWN NAME,PRIMARY,WOOD, ,2.1,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,0345716b-bedb-45a0-8c42-d6cdea7355c6,285.722368437614,285.722368438136
104576,1713,UNKNOWN NAME,PRIMARY,CRDS,No,3,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,018863b7-a23e-465a-a20a-7b0fbf1aa36f,77.4219340713807,77.421934071391
104577,1714,UNKNOWN NAME,TERIARY,Gravel, ,2,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,minor weeds - undefined width-deadends,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,097e9dc1-e6e7-4238-b108-a12935bee395,31.2781003028454,31.2781003031201
104578,1648,SHUBIE CANAL GREENWAY,AT_GW - S,Asphalt, ,1.5,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,44347a6e-c9cb-439c-803d-6e0709ae02f3,35.8046462862865,35.8046462862229
104579,987,UNKNOWN NAME, ,Asphalt,No,1.9,Yes,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,804372ad-b6be-4cd4-bce3-0ebf155bd301,125.414369234444,125.414369233267
104580,875,UNKNOWN NAME,SECONDARY,Asphalt,No,1.8,Yes,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,trail leads to undeveloped area,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,6dd0dc9a-a03b-4e27-82c2-00a7cdbef942,243.643974979751,243.643974979094
104581,3109,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,2f6e8fb7-4b6b-4fab-be39-78103ce564b8,337.98095439637,337.980954395835
104582,708,FRESHWATER TRAIL PARK WALKWAY,SECONDARY,CRDS,No,,No,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,FRESHWATER PARK,TPW_TRAILS,,,,291a219a-ba77-42a4-b336-b86d9b46cd66,172.216325965099,172.216325965099
104583,871,FRESHWATER TRAIL PARK WALKWAY,SECONDARY,CRDS,No,2.2,No,,GOOD,2007,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,4608c8b8-1141-4e8a-8ec2-452b6def6b1d,91.7735828689425,91.7735828684819
104584,886,UNKNOWN NAME,SECONDARY,OTHR,No,1,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,wood chips,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,7cb997c2-5670-4cad-a5b6-4eb80058ae61,294.417130641718,294.417130639748
104585,709,UNKNOWN NAME,,CRDS,No,,No,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,838593b5-6955-4c14-a55b-572238f8b9f8,383.51878298207,383.518782981805
104586,4059,UNKNOWN NAME,,Gravel,,,No,,GOOD,2012,,No,Halifax Regional Municipality,HRM,ACTIVE,,2012-11-02T00:00:00.000Z,,,,RRRDTR,,No,No,,,,,,,,,,,,,,,,,630993af-b59c-4be7-925b-288db5bc2cbe,142.148102105974,142.148102105338
104587,710,UNKNOWN NAME,,CRDS,No,,No,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,572485a8-4ffb-4545-9f86-ed1461b87778,397.610407451784,397.610407450585
104588,784,AFRICVILLE PARK,,CRDS,No,,No,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,5eb6f25a-8e63-4da6-b5cf-3dff65cd1d5a,204.169706400908,204.169706400335
104589,694,UNKNOWN NAME,,CRDS,No,,No,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,118a72ed-4b89-4387-8595-13f3083e98ac,80.4144330148912,80.4144330135643
104590,1168,UNKNOWN NAME,SECONDARY,Asphalt,No,1.8,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,some areas of heaving,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,2abb77d7-e129-4f31-8fd9-0e07542edd99,52.2908539927946,52.2908539928642
104591,785,FLAG POND PARK TRAIL,,,Yes,,Yes,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,5a34f1bf-0d88-47a3-84bc-a19bb2b838c6,214.985236788188,214.985236788167
104592,786,FLAG POND PARK TRAIL,,,No,,Yes,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,4f4fae2c-1cd0-4eee-8989-00cb56878390,85.2038732972517,85.2038732966334
104593,2932,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,c853cd8a-16d2-4697-94d7-d4698e921d59,158.494457725136,158.494457727755
104594,2785,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,d8bbe41f-6c3a-4979-b72c-b4dabef2c2a9,204.211848592904,204.211848592937
104595,2942,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,87d25b63-d525-46ea-82b7-dd2ece597b2c,88.966717962703,88.9667179624401
104596,2920,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,06483bb3-8499-47b4-b0a5-f5a092c3df9f,584.441305393708,584.441305393215
104597,2983,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,a3d76205-71a2-466c-acd3-d844dca06210,321.801063339747,321.801063338635
104598,2742,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,24de2c6f-9cf2-4ebd-9361-a30044655430,142.352025634018,142.35202563375
104599,3111,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,b21ec4bb-c607-4f7b-aebf-37e4fad54233,240.168049187881,240.16804918824
104600,2104,UNKNOWN NAME,TERIARY,Asphalt,No,3,No,,POOR,0,,No,Halifax Regional Municipality,HRM,OTHER,access rd to hosp.treat plant,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,81ef909b-8773-439c-b980-707cd37609a4,35.2281393505996,35.2281393517434
104601,2084,UNKNOWN NAME, ,Asphalt, ,1.6,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,b56deaf4-dea8-4dd8-aa09-eb66593ba81f,137.522867109776,137.522867109509
104602,2085,UNKNOWN NAME,TERIARY,CRDS, ,1.4,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,unddfined-areas overgrn w/weed-,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,99a5bb7e-0586-4955-afff-4e6500637c13,27.8356910993772,27.8356910990148
104603,5020,UNKNOWN NAME,,Gravel,No,1.8,,,GOOD,2012,,No,Halifax Regional Municipality,HRM,ACTIVE,,2013-04-03T00:00:00.000Z,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,a153bdbb-8c4b-4bf9-bbe6-0ee9e4c62a9b,158.189698934951,158.189698932995
104604,5018,UNKNOWN NAME,,Gravel,No,1.8,,,GOOD,2012,,No,Halifax Regional Municipality,HRM,ACTIVE,,2013-04-03T00:00:00.000Z,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,40cf8aa4-f9fb-4b55-bf38-109ae9495c79,102.957937520532,102.957937519975
104605,1778,UNKNOWN NAME,SECONDARY,Asphalt, ,1.4,No,,GOOD,0,,Yes,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,9c348e0d-1743-4cf0-b4bc-ad4e7936ad5f,17.6059523272807,17.6059523251092
104606,1779,UNKNOWN NAME,SECONDARY,OTHR, ,1.7,No,,GOOD,0,,Yes,Halifax Regional Municipality,HRM,ACTIVE,brick- minor heaves,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,7c366dee-adc6-4a75-896a-e2d5bda0c132,121.576515408383,121.576515410226
104607,1400,UNKNOWN NAME, ,Gravel,No,4,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,access rd,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,2be025fc-9118-4263-a077-29a2d1a228d6,184.456142903641,184.456142900967
104608,2096,UNKNOWN NAME, ,Asphalt, ,1.7,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,7c801018-34ad-4d3f-ba98-1149ceb2d593,19.2377529292438,19.2377529298424
104609,1798,UNKNOWN NAME,PRIMARY,Gravel,No,2,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,046b3aa9-3954-4cba-8e55-7fda7cc4c622,28.7962913723081,28.7962913717957
104610,1799,UNKNOWN NAME,PRIMARY,Asphalt,No,2,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,varies 1.5 to 2m,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,bb81826d-032d-479e-ada0-b772eadf4019,158.55754945301,158.557549450874
104611,1800,UNKNOWN NAME,PRIMARY,Asphalt,No,1.5,Yes,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,c2b2e9c7-2630-458f-b0cf-d75af0aa01c3,55.6649008224946,55.6649008217402
104612,1801,UNKNOWN NAME,PRIMARY,Natural,No,0.5,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,c31f74f7-aa81-47fa-8823-c92764e7a21c,51.6391203772005,51.6391203773294
104613,1802,UNKNOWN NAME,PRIMARY,Natural,No,1.5,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,6abf9c13-314e-4885-8ad5-1b7ff3a1a829,43.9190557534653,43.9190557509811
104614,1804,UNKNOWN NAME,SECONDARY,Natural,No,0.5,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,a1689aa0-5b51-4663-8a60-563700605e72,128.123587091672,128.123587092201
